NAME;RARE;DEFENSE;SLOTS;FIRE_RES;WATER_RES;THUNDER_RES;ICE_RES;DRAGON_RES;CLASS;SKILLS;MATERIALS
Yukumo Kote;1;1;1;0;0;3;0;0;2;[Expert:1,Protection:2,Whim:2];[YukumoWood:2,Ivy:1]
Leather Gloves;1;1;1;-1;0;0;0;1;2;[Gathering:3,SpdGather:3,Whim:1];[WarmPelt:2]
Chainmail Gloves;1;2;1;2;1;-2;1;0;2;[Health:4,ComboRate:1,ComboPlus:2];[IronOre:1,YukumoWood:2]
Hunter's Vambraces;1;6;1;0;1;-4;0;0;0;[Poison:-2,Psychic:3,SpeedSetup:2,Ranger:2];[EarthCrystal:1,JaggiScale:2,Ivy:1]
Hunter's Guards;1;3;1;1;2;-2;0;1;1;[Poison:-2,Psychic:3,SpeedSetup:2,Ranger:2];[EarthCrystal:1,JaggiScale:2,Ivy:1]
Bone Vambraces;1;8;1;2;0;-1;-2;0;0;[Sleep:-2,Gathering:4,Maestro:2,KO:1];[MonsterBoneS:3,MysteryBone:3,SharpenedFang:2]
Bone Guards;1;4;1;4;0;0;-1;0;1;[Sleep:-2,Gathering:1,Maestro:4,KO:2];[MonsterBoneS:3,MysteryBone:3,SharpenedFang:2]
Alloy Vambraces;1;8;1;-1;1;-2;-2;-1;0;[Expert:4,Sharpener:1,WindRes:1,Gathering:-3];[MachaliteOre:2,BealiteOre:2,IronOre:4]
Alloy Guards;1;4;1;0;2;-1;-1;0;1;[ReloadSpd:2,PelletUp:2,PelletS+:3,Gathering:-2];[MachaliteOre:2,BealiteOre:2,IronOre:4]
Bnahabra Gloves;2;10;2;-5;-2;2;-2;4;0;[Sense:1,Status:1,Attack:-1,Sheathing:4];[BnahabraWings:3,BnahabraShell:2,BnahabraSpine:5,KillerBeetle:2]
Bnahabra Sleeves;2;5;2;-3;-1;3;-1;5;1;[Sense:1,Status:1,Attack:-2,Sheathing:3];[BnahabraWings:3,BnahabraShell:2,BnahabraSpine:5,KillerBeetle:2]
Rhenoplos Vambraces;2;10;1;2;-2;-2;-2;1;0;[Defense:4,IceRes:-1,Artillery:3,stamRecov:1];[RhenoplosShell:2,MonsterBoneM:4,IceCrystal:2]
Rhenoplos Guards;2;5;1;3;-1;-1;-1;2;1;[Defense:4,IceRes:-2,Artillery:2,stamRecov:1];[RhenoplosShell:2,MonsterBoneM:4,IceCrystal:2]
Jaggi Vambraces;2;12;1;-4;-2;-2;-2;1;0;[RecSpeed:3,Attack:3,LastingPwr:-1,Perception:2];[G.JaggiClaw:2,G.JaggiHide:3,JaggiScale:2,EarthCrystal:2]
Jaggi Guards;2;6;1;-2;-1;-1;-1;2;1;[RecSpeed:2,Attack:3,LastingPwr:-2,Perception:2];[G.JaggiClaw:2,G.JaggiHide:3,JaggiScale:2,EarthCrystal:2]
Arzuros Vambraces;2;12;1;-3;1;-1;-2;1;0;[Paralysis:-1,Stun:2,Gluttony:3,Defense:3];[ArzurosShell:2,ArzurosBrace:1,ArzurosPelt:2,AltarothStomach:2]
Arzuros Guards;2;6;1;-2;2;0;-1;3;1;[Paralysis:-1,Stun:3,Gluttony:2,Defense:3];[ArzurosShell:2,ArzurosBrace:1,ArzurosPelt:2,AltarothStomach:2]
