NAME;RARE;DEFENSE;SLOTS;FIRE_RES;WATER_RES;THUNDER_RES;ICE_RES;DRAGON_RES;CLASS;SKILLS;MATERIALS
Yukumo Kasa;1;1;0;0;0;3;0;0;2;[Expert:2,Protection:2,Whim:2];[YukumoWood:1,GarwaFeather:1]
Leather Headgear;1;1;1;-1;0;0;0;1;2;[Gathering:2,SpdGather:2,Whim:3];[WarmPelt:1,IronOre:1]
Chainmail Headgear;1;2;1;2;1;-2;1;0;2;[Health:2,ComboRate:4,ComboPlus:1];[EarthCrystal:1,IronOre:1]
Hunter's Helm;1;6;1;0;1;-4;0;0;2;[Poison:-2,Psychic:2,SpeedSetup:3,Ranger:2];[MachaliteOre:1,IronOre:1,Carpenterbug:2]
Hunter's Cap;1;3;1;1;2;-2;0;1;2;[Poison:-1,Psychic:4,SpeedSetup:2,Ranger:4];[MachaliteOre:1,IronOre:1,Carpenterbug:2]
Bone Helm;1;8;1;2;0;-1;-2;0;2;[Sleep:-3,Gathering:3,Maestro:1,KO:2];[BigFin:3,UnknownSkull:1,SharpenedFang:2]
Bone Cap;1;4;1;4;0;0;-1;0;2;[Sleep:-3,Gathering:3,Maestro:3,KO:4];[BigFin:3,UnknownSkull:1,SharpenedFang:2]
Alloy Helm;1;8;1;-1;1;-2;-2;-1;2;[Expert:1,Sharpener:3,WindRes:2,Gathering:-3];[MachaliteOre:3,BealiteOre:2,IronOre:3]
Alloy Cap;1;4;1;0;2;-1;-1;0;2;[ReloadSpd:3,PelletUp:3,PelletS+:3,Gathering:-2];[MachaliteOre:3,BealiteOre:2,IronOre:3]
Bnahabra Hat;2;10;1;-5;-2;2;-2;4;2;[Sense:4,Status:1,Attack:-3,Sheathing:1];[BnahabraShell:2,BnahabraWing:3,KillerBeetle:1,Carpenterbug:2]
Bnahabra Headpiece;2;5;1;-3;-1;3;-1;5;2;[Sense:4,Status:3,Attack:-1,Sheathing:3];[BnahabraShell:2,BnahabraWing:3,KillerBeetle:1,Carpenterbug:2]
Rhenoplos Helm;2;10;1;2;-2;-2;-2;1;2;[Mud-Snow:3,IceRes:-3,Artillery:1,SteamRecov:2];[RhenoplosScalp:1,RhenoplosShell:2,IceCrystal:2]
Rhenoplos Cap;2;5;1;3;-1;-1;-1;2;2;[IceRes:-1,Precision:4,Artillery:2,SteamRecov:4];[RhenoplosScalp:1,RhenoplosShell:2,IceCrystal:2]
Slagtoth Hood;3;12;0;-2;2;0;-1;1;2;[Health:5,WaterRes:6];[SlagtothHide:2,BulldromeHide:2,BullfangoPelt:3]
Slagtoth Cowl;3;6;0;-1;4;0;0;2;2;[Health:5,WaterRes:8];[SlagtothHide:2,BulldromeHide:2,BullfangoPelt:3]
Jaggi Helm;2;12;1;-4;-2;-2;-2;1;2;[RecSpeed:2,Attack:2,LastingPwr:-3,Perception:2];[G.JaggiHide:3,G.JaggiClaw:1,JaggiScale:2,IronOre:3]
