NAME;RARE;DEFENSE;SLOTS;FIRE_RES;WATER_RES;THUNDER_RES;ICE_RES;DRAGON_RES;CLASS;SKILLS;MATERIALS
Yukumo Hakama;1;1;0;0;0;3;0;0;2;[Expert:2,Protection:2,Whim:2];[YukumoWood:2,Carpenterbug:2]
Leather Pants;1;1;1;-1;0;0;0;1;2;[Gathering:1,SpdGather:2,Whim:4];[WarmPelt:2]
Chainmail Pants;1;2;1;2;1;-2;1;0;2;[Health:2,ComboRate:2,ComboPlus:3];[IronOre:2,YukumoWood:2]
Hunter's Greaves;1;6;1;0;1;-4;0;0;0;[Poison:-2,Psychic:3,SpeedSetup:2,Ranger:2];[IronOre:1,BullfangoPelt:1,YukumoWood:2]
Hunter's Leggings;1;3;1;1;2;-2;0;1;1;[Poison:-2,Psychic:3,SpeedSetup:3,Ranger:1];[IronOre:1,BullfangoPelt:1,YukumoWood:2]
Loc Lac Boots;1;4;1;2;-3;1;0;0;2;[Hunger:3,Transportr:6];[AltarothJaw:3,AltarothStomach:2,IceCrystal:3]
Bone Greaves;1;8;1;2;0;-1;-2;0;0;[Sleep:-1,Gathering:3,Maestro:4,KO:1];[MonsterBoneM:2,Bone:2,MysteryBone:4]
Bone Leggings;1;4;1;4;0;0;-1;0;1;[Sleep:-3,Gathering:4,Maestro:1,KO:1];[MonsterBoneM:2,Bone:2,MysteryBone:4]
Alloy Greaves;1;8;1;-1;1;-2;-2;-1;0;[Expert:2,Sharpener:1,WindRes:4,Gathering:-2];[MachaliteOre:4,BealiteOre:2,IronOre:2]
Alloy Leggings;1;4;1;0;2;-1;-1;0;1;[ReloadSpd:1,PelletUp:3,PelletS+:3,Gathering:-2];[MachaliteOre:4,BealiteOre:2,IronOre:2]
Bnahabra Boots;2;10;1;-5;-2;2;-2;4;0;[Sense:1,Status:3,Attack:-2,Sheathing:3];[BnahabraShell:2,BnahabraWing:3,KillerBeetle:2,Carpenterbug:3]
Bnahabra Pants;2;5;1;-3;-1;3;-1;5;1;[Sense:3,Status:2,Attack:-3,Sheathing:1];[BnahabraShell:2,BnahabraWing:3,KillerBeetle:2,Carpenterbug:3]
Rhenoplos Greaves;2;10;1;2;-2;-2;-2;1;0;[Mud-Snow:1,IceRes:-2,Artillery:4,StamRecov:2];[RhenoplosShell:2,MonsterBoneS:6,IceCrystal:2]
Rhenoplos Leggings;2;5;1;3;-1;-1;-1;2;1;[IceRes:-2,Precision:4,Artillery:2,StamRecov:1];[RhenoplosShell:2,MonsterBoneS:6,IceCrystal:2]
Jaggi Greaves;2;12;1;-4;-2;-2;-2;1;0;[RecSpeed:2,Attack:2,LastingPwr:-2,Perception:3];[JaggiHide:4,JaggiScale:3,MonsterBoneS:4,MachaliteOre:2]
Jaggi Leggings;2;6;1;-2;-1;-1;-1;2;1;[RecSpeed:3,Attack:2,LastingPwr:-2,Perception:2];[JaggiHide:4,JaggiScale:3,MonsterBoneS:4,MachaliteOre:2]
