NAME;RARE;DEFENSE;SLOTS;FIRE_RES;WATER_RES;THUNDER_RES;ICE_RES;DRAGON_RES;CLASS;SKILLS;MATERIALS
Yukumo Obi;1;1;1;0;0;3;0;0;2;[Expert:1,Protection:2,Whim:2];[YukumoWood:1,IronOre:2]
Leather Belt;1;1;0;-1;0;0;0;1;2;[Gathering:4,SpdGather:2,Whim:3];[BullfangoPelt:1,IronOre:1]
Chainmail Belt;1;2;1;2;1;-2;1;0;2;[Health:1,ComboRate:3,ComboPlus:3];[IronOre:1,WarmPelt:2]
Hunter's Faulds;1;6;1;0;1;-4;0;0;0;[Poison:-2,Psychic:4,SpeedSetup:2,Ranger:1];[BullfangoPelt:2,IronOre:1,Carpenterbug:1]
Hunter's Coat;1;3;1;1;2;-2;0;1;1;[Poison:-2,Psychic:2,SpeedSetup:3,Ranger:2];[BullfangoPelt:2,IronOre:1,Carpenterbug:1]
Loc Lac Kilt;1;4;1;2;-3;1;0;0;2;[Hunger:5,Transportr:4];[AltarothStomach:2,AltarothJaw:2,IceCrystal:3]
Bone Faulds;1;8;1;2;0;-1;-2;0;0;[Sleep:-2,Gathering:1,Maestro:3,KO:3];[MonsterBoneS:3,Bone:3,SharpenedFang:2]
Bone Coat;1;4;1;4;0;0;-1;0;1;[Sleep:-1,Gathering:4,Maestro:1,KO:3];[MonsterBoneS:3,Bone:3,SharpenedFang:2]
Alloy Coil;1;8;2;-1;1;-2;-2;-1;0;[Expert:3,Sharpener:1,WindRes:2,Gathering:-1];[MachaliteOre:2,PelagiciteOre:2,IronOre:3]
Alloy Coat;1;4;2;0;2;-1;-1;0;1;[ReloadSpd:1,PelletUp:1,PelletS+:2,Gathering:-3];[MachaliteOre:2,PelagiciteOre:2,IronOre:3]
Bnahabra Coil;2;10;1;-5;-2;2;-2;4;0;[Sense:3,Status:3,Attack:-2,Sheathing:1];[BnahabraWing:3,BnahabraShell:2,MonsterFluid:1,KillerBeetle:2]
Bnahabra Coat;2;5;1;-3;-1;3;-1;5;1;[Sense:2,Status:2,Attack:-2,Sheathing:3];[BnahabraWing:3,BnahabraShell:2,MonsterFluid:1,KillerBeetle:2]
Rhenoplos Coil;2;10;2;2;-2;-2;-2;1;0;[Mud-Snow:2,IceRes:-1,Artillery:3,Artillery:3,StamRecov:3];[RhenoplosShell:2,RhenoplosScalp:1,EarthCrystal:2]
Rhenoplos Coat;2;5;1;3;-1;-1;-1;2;1;[IceRes:-2,Precision:1,Artillery:4,StamRecov:2];[RhenoplosShell:2,RhenoplosScalp:1,EarthCrystal:2]
Jaggi Faulds;2;12;1;-4;-2;-2;-2;1;0;[RecSpeed:4,Attack:3,LastingPwr:-1,Perception:1];[G.JaggiHide:2,King'sFrill:1,JaggiHide:3,EarthCrytal:1]
Jaggi Coat;2;6;1;-2;-1;-1;-1;2;1;[RecSpeed:2,Attack:2,LastingPwr:-2,Perception:3];[G.JaggiHide:2,King'sFrill:1,JaggiHide:3,EarthCrytal:1]
